,Unnamed: 0,imDbId,title,fullTitle,year,items,sentiment_score,neg,neu,pos,compound
24,203,tt11196036,The Card Counter,The Card Counter (2021),2021,"{'publisher': 'The Hollywood Reporter', 'author': 'David Rooney', 'link': 'https://www.hollywoodreporter.com/movies/movie-reviews/oscar-isaac-in-paul-schraders-the-card-counter-1235005154/', 'rate': '80', 'content': 'A companion piece of sorts to First Reformed, this is another bruising character study of a solitary, burdened man who processes his most intimate thoughts in a journal, living with his guilt until he’s handed an unexpected opportunity for redemption.'}",-0.25,0.088,0.861,0.051,-0.25
25,207,tt11196036,The Card Counter,The Card Counter (2021),2021,"{'publisher': 'Slashfilm', 'author': 'Chris Evangelista', 'link': 'https://www.slashfilm.com/593684/the-card-counter-review-paul-schraders-anti-revenge-film-features-a-strong-oscar-isaac-performance/', 'rate': '75', 'content': ""The element that keeps The Card Counter truly alive is Isaac, who turns in one of the best performances of his career here, using his eyes to convey things dialogue never could. To watch him work here is something special, even if the movie as a whole can't ever quite match his intensity.""}",0.91,0.0,0.824,0.176,0.9081
26,214,tt9357050,Dear Evan Hansen,Dear Evan Hansen (2021),2021,"{'publisher': 'Variety', 'author': 'Peter Debruge', 'link': 'https://variety.com/2021/film/reviews/dear-evan-hansen-review-1235059668/', 'rate': '50', 'content': 'Dever is the best thing about this adaptation, which feels slightly less creepy in the lied-about-knowing-your-brother-to-worm-my-way-into-your-heart department, if only because Dever’s so good at balancing Zoe’s strength and vulnerability that the situation doesn’t read as a nearly 30-year-old creep manipulating a minor.'}",0.83,0.073,0.743,0.184,0.829
27,212,tt9357050,Dear Evan Hansen,Dear Evan Hansen (2021),2021,"{'publisher': 'The Hollywood Reporter', 'author': 'Michael Rechtshaffen', 'link': 'https://www.hollywoodreporter.com/movies/movie-reviews/dear-evan-hansen-tiff-2021-1235009433/', 'rate': '60', 'content': 'A weakness for the formulaic, combined with a noticeably weighty running time, continually bumps up against the film’s many fine points.'}",-0.25,0.081,0.867,0.052,-0.25
28,235,tt5433138,F9: The Fast Saga,F9: The Fast Saga (2021),2021,"{'publisher': 'IndieWire', 'author': 'David Ehrlich', 'link': 'https://www.indiewire.com/2021/05/fast-9-review-1234638051/', 'rate': '58', 'content': 'This is a movie that sling-shots so far past self-parody that it loops all the way back to something real.'}",0.0,0.0,1.0,0.0,0.0
29,237,tt5433138,F9: The Fast Saga,F9: The Fast Saga (2021),2021,"{'publisher': 'Variety', 'author': 'Owen Gleiberman', 'link': 'https://variety.com/2021/film/reviews/f9-review-vin-diesel-john-cena-1234974952/', 'rate': '50', 'content': 'Considering that F9 is Lin’s fifth “F and F” film and his first one in eight years, it goes through the motions with more energy than intoxication.'}",0.34,0.0,0.938,0.062,0.3384
30,256,tt0870154,Jungle Cruise,Jungle Cruise (2021),2021,"{'publisher': 'Movie Nation', 'author': 'Roger Moore', 'link': 'https://rogersmovienation.com/2021/07/27/movie-review-jungle-cruise-loses-its-way/', 'rate': '50', 'content': 'It’s a film that wants to be a little of this, a lot of that and funny in the bargain. You want to like it so much that you can sense Disney getting a new franchise out of it, even if it doesn’t quite come off. But if they do sequels, they’d bloody well better hire somebody who knows comedy to film them.'}",0.85,0.047,0.757,0.195,0.8462
31,258,tt0870154,Jungle Cruise,Jungle Cruise (2021),2021,"{'publisher': 'Paste Magazine', 'author': 'Jacob Oller', 'link': 'https://www.pastemagazine.com/movies/jungle-cruise-review/', 'rate': '43', 'content': 'Director Jaume Collet-Serra and his fully crewed vessel of writers never sink all the way to the bottom, but the very best they accomplish is keeping their heads above water.'}",0.91,0.0,0.791,0.209,0.9069
32,276,tt1160419,Dune,Dune (2021),2021,"{'publisher': 'Entertainment Weekly', 'author': 'Leah Greenblatt', 'link': 'https://ew.com/movies/movie-reviews/dune-movie-review/', 'rate': '75', 'content': ""The sheer awesomeness of Villeneuve's execution — there might not be another film this year, or ever, that turns one character asking another for a glass of water into a kind of walloping psychedelic performance art — often obscures the fact that the plot is mostly prologue: a sprawling origin story with no fixed beginning or end.""}",0.15,0.033,0.924,0.042,0.1531
33,273,tt1160419,Dune,Dune (2021),2021,"{'publisher': 'Slashfilm', 'author': 'Marshall Shaffer', 'link': 'https://www.slashfilm.com/595162/dune-review-denis-villeneuve-delivers-on-sensational-and-spiritual-spectacle-venice-2021/', 'rate': '90', 'content': ""Audiences deserve to see the conclusion of an action film so immaculately crafted and patiently paced, one that's more focused on inspiring reverent amazement through the simplicity of durable storytelling structures rather than the complexity of cinematic universe building.""}",0.86,0.0,0.829,0.171,0.8576
